id,lang,path,sr,text
1,en,en/1.wav,16000,MARY AND SAMANTHA ARRIVED AT THE BUS STATION EARLY BUT WAITED UNTILL NOON FOR THE BUS
2,en,en/2.wav,16000,I LOOKED FOR MARY AND SAMANTHA AT THE BUS STATION
3,en,en/3.wav,16000,WHILE HE WAITED AT THE TRAIN STATION, JOE REALIZED THAT THE TRAIN WAS LATE
4,en,en/4.wav,16000,ALL IS SAID WITHOUT A WORD
5,en,en/5.wav,16000,IT IS THIS THAT IS OF INTEREST TO THEORY OF KNOWLEDGE
6,en,en/6.wav,16000,MARY AND SAMANTHA ARRIVED AT THE BUS STATION EARLY BUT WAITED UNTILL NOON FOR THE BUS
7,en,en/7.wav,16000,I LOOKED FOR MARY AND SAMANTHA AT THE BUS STATION
8,en,en/8.wav,16000,"WHILE HE WAITED AT THE TRAIN STATION, JOE REALIZED THAT THE TRAIN WAS LATE"
9,es,es/9.wav,16000,HABITA EN AGUAS POCO PROFUNDAS Y ROCOSAS.
10,es,es/10.wav,16000,LAS GUITARRAS SIGUEN EL MISMO CONCEPTO.
11,es,es/11.wav,16000,ESTA PALOMA ES CONOCIDA SOLAMENTE POR RESTOS FóSILES.
12,es,es/12.wav,16000,LA ELECCIóN DE FRASE DE EJEMPLO NO FUE INTELIGENTE.
13,es,es/13.wav,16000,EL EJEMPLO FRASE TIENE VARIOS ERRORES GRAMATICALES.
14,es,es/14.wav,16000,"LUEGO, VERIFICAS TU RESPUESTA Y LEES LA ORACIóN DE EJEMPLO."
15,es,es/15.wav,16000,"LA IDEA BáSICA ESTá ALLí, PERO LAS PALABRAS NO TIENEN TANTO PODER."
16,es,es/16.wav,16000,CADA PALABRA SE DEFINE CLARAMENTE Y UNA ORACIóN DO EJEMPLO MUESTRA SU USO EN CONTEXTO.
17,ja,ja/17.wav,16000,彼女は頬をふくらませた。
18,ja,ja/18.wav,16000,両手の指は変形し、関節の辺りが、こぶ状に盛り上がっていた。
19,ja,ja/19.wav,16000,去年より今年のほうが暑いです。
20,ja,ja/20.wav,16000,ジンボはリンゴを食べる。
21,ja,ja/21.wav,16000,トムさんはお茶を飲みます。
22,ja,ja/22.wav,16000,きのうはわたしのたんじょうびでした。
23,ja,ja/23.wav,16000,ありすはくっきーをつくった。
24,zh,zh/24.wav,16000,星光在微白的天空闪烁
25,zh,zh/25.wav,16000,欢迎有兴趣的青年朋友
26,zh,zh/26.wav,16000,整个下午依然哭个不停
27,zh,zh/27.wav,16000,寫日記是一個好習慣。
28,zh,zh/28.wav,16000,起初我們並不熟悉，漸漸地就熟悉起來了。
29,zh,zh/29.wav,16000,她年轻时很美丽。
30,zh,zh/30.wav,16000,我确实喜欢我的同事。
